image_name,bbox_index,total_bboxes,center_x,center_y,width,height,angle_deg,long_side,short_side,contour_area,bbox_area,perimeter,fill_ratio,positive_pixels,area_ratio,side_ratio,area_cutoff,side_cutoff,is_outlier,scenario,median_contour_area,median_long_side,cfg_seg_close_kernel_dims,cfg_seg_min_contour_area,cfg_seg_median_area_threshold,cfg_seg_outlier_area_ratio,cfg_seg_outlier_side_ratio
IMG_3351.jpg,3,6,953.9,1275.6,216.1,1942.6,-5.08,1942.6,216.1,111177,419717,4317.3,0.2649,113254,1.017,1.15,218726.0,2703.5,False,none,109363.0,1689.7,"(16, 16)",500,0.2,2,1.6
IMG_3351.jpg,4,6,3126.7,1326.6,737.5,971.1,-11.15,971.1,737.5,107549,716198,3417.2,0.1502,79725,0.983,0.575,218726.0,2703.5,False,none,109363.0,1689.7,"(16, 16)",500,0.2,2,1.6
IMG_3351.jpg,5,6,452.7,1433.2,1703.3,315.7,-78.69,1703.3,315.7,90542,537801,4038.0,0.1684,92232,0.828,1.008,218726.0,2703.5,False,none,109363.0,1689.7,"(16, 16)",500,0.2,2,1.6
IMG_3351.jpg,6,6,2181.2,1303.4,109.9,1999.9,-7.35,1999.9,109.9,87457,219844,4219.7,0.3978,89465,0.8,1.184,218726.0,2703.5,False,none,109363.0,1689.7,"(16, 16)",500,0.2,2,1.6
IMG_3353.jpg,1,5,1784.7,1307.9,1662.2,289.6,-89.57,1662.2,289.6,237212,481373,3903.6,0.4928,230005,1.806,1.0,262754.0,2659.5,False,none,131377.0,1662.2,"(16, 16)",500,0.2,2,1.6
IMG_3353.jpg,2,5,2473.6,1258.5,661.1,1983.7,-4.73,1983.7,661.1,204756,1311457,5289.6,0.1561,209645,1.559,1.193,262754.0,2659.5,False,none,131377.0,1662.2,"(16, 16)",500,0.2,2,1.6
IMG_3353.jpg,3,5,1204.1,1186.2,1346.6,130.1,-65.92,1346.6,130.1,131377,175154,2953.3,0.7501,132637,1.0,0.81,262754.0,2659.5,False,none,131377.0,1662.2,"(16, 16)",500,0.2,2,1.6
IMG_3353.jpg,4,5,3138.9,1314.4,727.6,973.4,-9.33,973.4,727.6,107727,708179,3401.9,0.1521,62827,0.82,0.586,262754.0,2659.5,False,none,131377.0,1662.2,"(16, 16)",500,0.2,2,1.6
IMG_3353.jpg,5,5,477.8,1391.3,1696.2,313.6,-76.96,1696.2,313.6,90465,531881,4019.5,0.1701,95137,0.689,1.02,262754.0,2659.5,False,none,131377.0,1662.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,1,6,1802.8,1373.9,301.3,1705.2,-1.02,1705.2,301.3,233469,513801,4013.1,0.4544,224581,1.994,0.99,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,2,6,2611.3,1379.6,134.6,1355.6,-1.27,1355.6,134.6,137558,182424,2980.4,0.7541,138946,1.175,0.787,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,3,6,1123.1,1321.4,267.0,2002.9,-15.71,2002.9,267.0,127536,534672,4539.6,0.2385,129678,1.089,1.163,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,4,6,3236.6,1364.0,591.6,1038.4,-9.77,1038.4,591.6,106663,614330,3260.0,0.1736,61010,0.911,0.603,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,5,6,2203.4,1329.3,111.5,2034.9,-9.46,2034.9,111.5,91639,226818,4292.8,0.404,93685,0.783,1.182,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3354.jpg,6,6,439.7,1494.4,1739.1,327.1,-79.63,1739.1,327.1,90816,568881,4132.5,0.1596,95269,0.776,1.01,234199.0,2755.5,False,none,117099.5,1722.2,"(16, 16)",500,0.2,2,1.6
IMG_3355.jpg,1,5,1966.2,1209.7,1731.7,313.8,-71.84,1731.7,313.8,238353,543342,4090.9,0.4387,232902,1.498,1.0,318202.0,2770.7,False,none,159101.0,1731.7,"(16, 16)",500,0.2,2,1.6
IMG_3355.jpg,2,5,2787.0,1360.9,661.7,1712.1,-8.53,1712.1,661.7,202112,1132927,4747.7,0.1784,214789,1.27,0.989,318202.0,2770.7,False,none,159101.0,1731.7,"(16, 16)",500,0.2,2,1.6
IMG_3355.jpg,3,5,1078.4,1000.0,978.1,688.4,-87.24,978.1,688.4,159101,673304,3333.0,0.2363,64766,1.0,0.565,318202.0,2770.7,False,none,159101.0,1731.7,"(16, 16)",500,0.2,2,1.6
IMG_3355.jpg,4,5,3395.2,1268.4,102.8,2082.7,-5.72,2082.7,102.8,94882,214078,4371.0,0.4432,97006,0.596,1.203,318202.0,2770.7,False,none,159101.0,1731.7,"(16, 16)",500,0.2,2,1.6
IMG_3355.jpg,5,5,573.0,1146.0,2027.1,187.4,-87.06,2027.1,187.4,92383,379873,4429.1,0.2432,94860,0.581,1.171,318202.0,2770.7,False,none,159101.0,1731.7,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,1,6,2075.7,1214.6,1748.9,320.9,-74.97,1748.9,320.9,243321,561173,4139.5,0.4336,237452,1.898,0.997,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,2,6,1168.9,1018.5,994.9,704.5,-88.71,994.9,704.5,165802,700875,3398.7,0.2366,67509,1.294,0.567,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,3,6,3074.6,1310.2,1408.0,144.1,-87.95,1408.0,144.1,153392,202868,3104.1,0.7561,154835,1.197,0.803,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,4,6,655.0,1176.4,2068.6,214.6,-89.63,2068.6,214.6,102954,443987,4566.5,0.2319,105988,0.803,1.179,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,5,6,3523.5,1248.1,99.1,2114.5,-9.43,2114.5,99.1,98111,209644,4427.3,0.468,100245,0.765,1.205,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3356.jpg,6,6,2586.0,1270.1,1759.6,335.9,-86.72,1759.6,335.9,63378,591000,4190.9,0.1072,67096,0.494,1.003,256346.0,2806.8,False,none,128173.0,1754.2,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,1,7,1196.8,1038.1,1009.8,697.1,-81.27,1009.8,697.1,163707,703943,3413.8,0.2326,64666,1.839,0.588,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,2,7,3141.3,1482.9,1452.8,146.3,-82.96,1452.8,146.3,155101,212614,3198.3,0.7295,156587,1.742,0.845,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,3,7,3613.5,1444.7,98.8,2195.5,-6.19,2195.5,98.8,91633,216854,4588.6,0.4226,93904,1.029,1.278,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,4,7,1915.7,1233.0,1986.2,161.5,-89.19,1986.2,161.5,89035,320762,4295.3,0.2776,91082,1.0,1.156,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,5,7,691.2,1315.5,1832.4,61.4,-81.25,1832.4,61.4,79546,112579,3787.8,0.7066,81382,0.893,1.066,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,6,7,2567.3,1360.9,342.0,1718.4,-5.98,1718.4,342.0,46256,587671,4120.9,0.0787,55578,0.52,1.0,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3357.jpg,7,7,808.5,280.0,250.4,125.8,-85.1,250.4,125.8,13280,31491,752.3,0.4217,13611,0.149,0.146,178070.0,2749.5,False,none,89035.0,1718.4,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,1,6,1134.4,1193.5,1171.7,716.7,-57.07,1171.7,716.7,197430,839745,3776.8,0.2351,78988,1.81,0.583,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,2,6,3108.6,1459.5,160.3,1590.8,-4.83,1590.8,160.3,188816,254949,3502.2,0.7406,190457,1.731,0.792,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,3,6,3684.5,1434.1,106.3,2385.0,-9.81,2385.0,106.3,109301,253490,4982.5,0.4312,111753,1.002,1.187,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,4,6,1817.7,1268.8,177.1,2154.8,-0.97,2154.8,177.1,108907,381691,4663.9,0.2853,111134,0.998,1.073,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,5,6,477.3,1409.3,2006.3,68.0,-81.48,2006.3,68.0,98617,136392,4148.6,0.723,100655,0.904,0.999,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
IMG_3359.jpg,6,6,2324.6,1370.8,285.6,2010.9,-5.5,2010.9,285.6,38806,574240,4592.9,0.0676,42858,0.356,1.001,218208.0,3213.7,False,none,109104.0,2008.6,"(16, 16)",500,0.2,2,1.6
